rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
5379.0;166500.0;391500.0;1;1.0;228.0;38.0;590.0;99.0;2012.0;714.0;127.0;2318.0;3062.0;5756.0;5593.0;4156.0;2036.0;33406.0;106.0;5.0;2842.0;51.0;61.0;0.0;6.0
5388.0;175500.0;391500.0;1;0.0;1569.0;2713.0;1167.0;237.0;5821.0;1369.0;237.0;1164.0;10629.0;28241.0;6052.0;22065.0;17304.0;21374.0;241.0;5.0;9240.0;51.0;6.0;0.0;6.0
5389.0;176500.0;391500.0;1;0.0;1495.0;2495.0;1324.0;486.0;5894.0;1893.0;421.0;1429.0;10292.0;27537.0;5330.0;21486.0;16576.0;20770.0;234.0;5.0;9407.0;51.0;6.0;0.0;1.0
5392.0;179500.0;391500.0;1;0.0;860.0;2100.0;1665.0;1321.0;6496.0;1762.0;46.0;554.0;9880.0;26175.0;4218.0;20416.0;15201.0;19648.0;48.0;5.0;10031.0;51.0;6.0;0.0;6.0
5393.0;180500.0;391500.0;1;0.0;1352.0;1996.0;1759.0;1023.0;6986.0;1759.0;996.0;460.0;9822.0;25526.0;3886.0;19935.0;14568.0;19141.0;143.0;4.0;10472.0;51.0;5.0;0.0;1.0
5398.0;185500.0;391500.0;1;0.0;2332.0;1486.0;2312.0;483.0;8246.0;1688.0;183.0;2085.0;9912.0;24298.0;3505.0;19094.0;13436.0;18238.0;572.0;4.0;11336.0;51.0;5.0;0.0;6.0
5411.0;198500.0;391500.0;2;0.0;2155.0;1485.0;904.0;858.0;10537.0;1212.0;520.0;411.0;10561.0;22643.0;4433.0;18143.0;12134.0;17169.0;179.0;3.0;11935.0;51.0;3.0;0.0;1.0
5422.0;209500.0;391500.0;2;0.0;2711.0;1495.0;2213.0;501.0;12164.0;824.0;515.0;1894.0;11304.0;21627.0;5795.0;17698.0;11555.0;16656.0;527.0;2.0;11909.0;51.0;5.0;0.0;6.0
5426.0;21724.882629108;392770.516431925;1;0.0;2692.0;794.0;3629.0;882.0;12131.0;1723.0;141.0;4049.0;11756.0;19457.0;7686.0;17553.0;11340.0;16446.0;615.0;2.0;10563.0;51.0;5.0;0.0;6.0
5474.0;78500.0;392500.0;1;0.0;378.0;242.0;844.0;270.0;2749.0;2951.0;368.0;3010.0;12683.0;6963.0;9551.0;9819.0;3169.0;18419.0;610.0;4.0;2966.0;51.0;5.0;0.0;6.0
5475.0;79500.0;392500.0;8;0.0;81.0;319.0;1359.0;264.0;3097.0;3939.0;354.0;3692.0;11761.0;6066.0;8674.0;8904.0;3808.0;17929.0;119.0;0.0;3656.0;51.0;1.0;0.0;6.0
5476.0;80500.0;392500.0;3;0.0;829.0;42.0;1696.0;727.0;3623.0;3798.0;59.0;3753.0;10852.0;5206.0;7827.0;8010.0;4577.0;17484.0;99.0;5.0;4464.0;51.0;1.0;0.0;6.0
