rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
13311.0;118500.0;440500.0;2;0.0;148.0;0.0;1071.0;110.0;7152.0;7537.0;35.0;3021.0;15610.0;3159.0;6100.0;30766.0;19650.0;9580.0;72.0;5.0;1598.0;60.0;12.0;34.029998779296875;6.0
13320.0;127500.0;440500.0;1;1.0;1047.0;0.0;818.0;554.0;7966.0;7797.0;187.0;2990.0;16327.0;4159.0;5755.0;29875.0;19564.0;10580.0;595.0;5.0;1997.0;60.0;12.0;34.119998931884766;1.0
13321.0;128500.0;440500.0;1;0.0;110.0;125.0;0.0;634.0;8819.0;6987.0;12.0;3115.0;17073.0;4267.0;5535.0;28991.0;19529.0;11579.0;256.0;5.0;2724.0;44.0;2.0;0.0;6.0
13324.0;131500.0;440500.0;1;1.0;401.0;87.0;564.0;219.0;9530.0;6232.0;30.0;2795.0;17136.0;3742.0;5444.0;28116.0;19545.0;12579.0;13.0;4.0;3583.0;24.0;23.0;33.93000030517578;6.0
13325.0;132500.0;440500.0;1;0.0;94.0;1087.0;185.0;169.0;10270.0;5554.0;87.0;2462.0;16597.0;3435.0;5524.0;27248.0;19612.0;13579.0;486.0;-1.0;4491.0;24.0;18.0;0.0;6.0
13331.0;138500.0;440500.0;1;1.0;0.0;1030.0;239.0;51.0;11051.0;4987.0;51.0;1712.0;16103.0;3406.0;5779.0;26390.0;19730.0;14579.0;490.0;-1.0;5371.0;20.0;18.0;0.0;6.0
13335.0;142500.0;440500.0;1;0.0;0.0;948.0;94.0;40.0;11267.0;4058.0;40.0;929.0;15656.0;3654.0;6183.0;25543.0;19897.0;15578.0;276.0;0.0;6176.0;20.0;18.0;0.0;6.0
13336.0;143500.0;440500.0;5;1.0;417.0;166.0;742.0;415.0;10267.0;3076.0;120.0;874.0;15263.0;4104.0;6713.0;24707.0;19555.0;15192.0;408.0;2.0;6993.0;51.0;2.0;0.0;6.0
13337.0;144500.0;440500.0;1;0.0;1065.0;905.0;1684.0;660.0;9268.0;2085.0;122.0;1532.0;14926.0;4727.0;7341.0;23883.0;18670.0;14729.0;208.0;1.0;7312.0;51.0;2.0;0.0;6.0
13338.0;145500.0;440500.0;1;0.0;1400.0;1033.0;2639.0;31.0;8268.0;1105.0;377.0;2435.0;14649.0;5463.0;7962.0;23073.0;17797.0;14320.0;841.0;2.0;6312.0;51.0;2.0;0.0;6.0
13341.0;148500.0;440500.0;1;0.0;1207.0;45.0;2391.0;850.0;7268.0;118.0;118.0;3393.0;14437.0;6272.0;7061.0;22279.0;16938.0;13971.0;454.0;0.0;5313.0;51.0;2.0;0.0;6.0
13344.0;151500.0;440500.0;1;0.0;599.0;533.0;1727.0;307.0;6269.0;865.0;307.0;4370.0;14292.0;7130.0;6189.0;21502.0;16095.0;13686.0;456.0;5.0;4313.0;51.0;2.0;0.0;6.0
13345.0;152500.0;440500.0;1;0.0;775.0;514.0;1497.0;633.0;5269.0;1800.0;644.0;4339.0;14216.0;8015.0;5361.0;20745.0;15272.0;13452.0;668.0;2.0;3313.0;51.0;1.0;0.0;6.0
13346.0;153500.0;440500.0;1;0.0;1351.0;279.0;1766.0;686.0;4270.0;1849.0;1591.0;4419.0;14210.0;8918.0;4603.0;20008.0;14471.0;13278.0;176.0;0.0;2314.0;51.0;1.0;0.0;6.0
13358.0;165500.0;440500.0;0;0.0;1021.0;802.0;1119.0;786.0;3272.0;2358.0;1099.0;4707.0;14274.0;9838.0;3953.0;19295.0;13696.0;13174.0;857.0;4.0;1316.0;51.0;6.0;0.0;6.0
13361.0;168500.0;440500.0;8;0.0;315.0;1295.0;121.0;81.0;2275.0;3110.0;99.0;5153.0;14407.0;9555.0;3473.0;18609.0;12952.0;13146.0;176.0;4.0;329.0;51.0;6.0;0.0;6.0
13362.0;169500.0;440500.0;16;5.0;933.0;319.0;0.0;165.0;1282.0;3973.0;165.0;5741.0;14071.0;8567.0;3191.0;17952.0;12244.0;13193.0;165.0;5.0;342.0;44.0;19.0;0.0;3.0
13363.0;170500.0;440500.0;1;2.0;1864.0;0.0;596.0;67.0;316.0;4864.0;92.0;5560.0;13106.0;7582.0;3079.0;17328.0;11579.0;13313.0;304.0;5.0;1326.0;60.0;12.0;34.380001068115234;6.0
13365.0;172500.0;440500.0;1;2.0;1749.0;0.0;1462.0;366.0;39.0;5756.0;209.0;5065.0;12147.0;6601.0;3284.0;16740.0;10966.0;13504.0;446.0;5.0;2320.0;60.0;12.0;34.59000015258789;6.0
13366.0;173500.0;440500.0;1;1.0;864.0;0.0;1890.0;582.0;25.0;6649.0;25.0;4732.0;11195.0;5626.0;3751.0;16193.0;10413.0;13765.0;62.0;5.0;3318.0;60.0;11.0;34.720001220703125;1.0
13367.0;174500.0;440500.0;7;1.0;206.0;715.0;1049.0;404.0;101.0;7539.0;101.0;4102.0;10252.0;4663.0;4400.0;15691.0;9929.0;14093.0;201.0;4.0;3270.0;51.0;6.0;0.0;6.0
13372.0;179500.0;440500.0;0;0.0;37.0;668.0;682.0;122.0;192.0;6912.0;128.0;3112.0;9321.0;3719.0;5162.0;15238.0;9527.0;14482.0;88.0;0.0;2369.0;51.0;6.0;0.0;6.0
13375.0;182500.0;440500.0;1;0.0;48.0;622.0;188.0;260.0;473.0;6024.0;44.0;2130.0;8406.0;2814.0;5995.0;14838.0;9216.0;14927.0;225.0;0.0;1590.0;51.0;18.0;0.0;6.0
13378.0;185500.0;440500.0;1;0.0;0.0;628.0;283.0;257.0;1467.0;5178.0;176.0;1179.0;7512.0;2001.0;6872.0;14495.0;9006.0;15424.0;135.0;-1.0;1081.0;20.0;18.0;0.0;6.0
13379.0;186500.0;440500.0;1;2.0;185.0;221.0;458.0;723.0;2465.0;4278.0;215.0;460.0;6649.0;1389.0;7778.0;14213.0;8856.0;15968.0;74.0;4.0;1304.0;51.0;1.0;0.0;1.0
13381.0;188500.0;440500.0;1;0.0;101.0;600.0;502.0;74.0;3465.0;3375.0;161.0;837.0;5829.0;1315.0;8004.0;13996.0;8275.0;16555.0;408.0;0.0;2019.0;51.0;1.0;0.0;1.0
13382.0;189500.0;440500.0;3;0.0;162.0;1318.0;1401.0;574.0;4464.0;2547.0;360.0;1026.0;5067.0;1825.0;7227.0;13848.0;7772.0;17180.0;52.0;0.0;2891.0;51.0;61.0;0.0;6.0
13383.0;190500.0;440500.0;2;1.0;207.0;437.0;946.0;597.0;5464.0;1684.0;570.0;1081.0;4399.0;910.0;6510.0;13772.0;7363.0;17840.0;217.0;4.0;3826.0;51.0;61.0;0.0;6.0
13384.0;191500.0;440500.0;1;0.0;1184.0;16.0;527.0;348.0;6445.0;746.0;107.0;566.0;3877.0;512.0;5877.0;13767.0;7064.0;18530.0;719.0;5.0;4787.0;51.0;12.0;0.0;6.0
13388.0;195500.0;440500.0;2;0.0;923.0;176.0;1207.0;898.0;6066.0;70.0;70.0;855.0;3564.0;1263.0;5354.0;13836.0;6899.0;19247.0;105.0;5.0;5410.0;51.0;61.0;0.0;6.0
13390.0;197500.0;440500.0;1;0.0;217.0;688.0;1032.0;142.0;5832.0;885.0;86.0;1040.0;3518.0;2178.0;4981.0;13976.0;6875.0;19988.0;129.0;4.0;4819.0;51.0;1.0;0.0;6.0
13391.0;198500.0;440500.0;3;0.0;428.0;88.0;385.0;198.0;5764.0;1027.0;198.0;387.0;3740.0;3133.0;4790.0;14185.0;6996.0;20750.0;394.0;5.0;4075.0;51.0;2.0;0.0;6.0
13402.0;209500.0;440500.0;7;1.0;829.0;40.0;955.0;682.0;5869.0;139.0;120.0;994.0;4073.0;4109.0;4804.0;14460.0;7253.0;21531.0;265.0;5.0;3455.0;51.0;11.0;0.0;6.0
13403.0;210500.0;440500.0;2;0.0;1.0;138.0;1526.0;127.0;5653.0;754.0;127.0;1921.0;3767.0;5094.0;5022.0;14798.0;7634.0;22328.0;41.0;5.0;3042.0;51.0;11.0;0.0;6.0
13404.0;211500.0;440500.0;2;0.0;753.0;463.0;2288.0;798.0;5511.0;1096.0;823.0;2858.0;3703.0;6045.0;5391.0;15184.0;8106.0;23106.0;263.0;0.0;2914.0;51.0;1.0;0.0;6.0
13408.0;215500.0;440500.0;1;0.0;297.0;311.0;0.0;65.0;15998.0;151.0;1188.0;991.0;6243.0;9070.0;7082.0;1990.0;2820.0;2588.0;51.0;5.0;584.0;43.0;17.0;0.0;6.0
13409.0;216500.0;440500.0;27;2.0;205.0;221.0;0.0;264.0;16359.0;264.0;434.0;270.0;6083.0;8383.0;6487.0;1208.0;2093.0;1867.0;244.0;5.0;317.0;43.0;17.0;0.0;6.0
13411.0;218500.0;440500.0;3;1.0;0.0;562.0;290.0;662.0;17032.0;662.0;133.0;615.0;6260.0;7460.0;5656.0;325.0;1438.0;1314.0;410.0;-1.0;709.0;20.0;18.0;0.0;6.0
13412.0;219500.0;440500.0;5;0.0;186.0;1456.0;151.0;404.0;17809.0;1357.0;516.0;1585.0;6640.0;6490.0;4800.0;813.0;658.0;1419.0;660.0;-1.0;1523.0;32.0;18.0;0.0;6.0
13413.0;220500.0;440500.0;1;0.0;185.0;1678.0;120.0;65.0;17599.0;1108.0;361.0;1410.0;7146.0;5537.0;4005.0;1769.0;771.0;1927.0;268.0;-1.0;2457.0;24.0;23.0;25.299999237060547;6.0
